Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,clean_text,polarity,subjectivity,sentiment_label,topic_id_nmf,topic_id_lda,hashtags_list
" An impenetrable numbness shields me from the emotional storms, a fortress of stoic resilience. ", Numbness        ,10/18/2019 14:30, ResilientFortress , Twitter  , #Numbness #StoicResilience               ,11,22, UK            ,impenetrable numbness shield emotional storm fortress stoic resilience,0.0,0.65,neutral,4,9,"['#Numbness', '#StoicResilience']"
" Melancholy painting the world in hues of nostalgia, a canvas of bittersweet memories. ", Melancholy      ,1/5/2020 20:00, CanvasDreamer     , Instagram , #Melancholy #BittersweetMemories         ,13,26, USA          ,melancholy painting world hue nostalgia canvas bittersweet memory,0.0,0.0,neutral,6,9,"['#Melancholy', '#BittersweetMemories']"
" A journey into the past, flipping through the pages of an old diary, nostalgia taking the lead. ", Nostalgia       ,8/10/2018 15:45, DiaryExplorer     , Facebook , #Nostalgia #DiaryJourney                 ,12,25, Canada        ,journey past flipping page old diary nostalgia taking lead,-0.075,0.225,negative,3,9,"['#Nostalgia', '#DiaryJourney']"
" Ambivalence clouding decisions, caught in the crossroads of conflicting emotions. ", Ambivalence     ,1/15/2022 10:30, CrossroadsTraveler , Twitter  , #Ambivalence #ConflictingEmotions        ,15,30, India         ,ambivalence clouding decision caught crossroad conflicting emotion,0.0,0.0,neutral,4,9,"['#Ambivalence', '#ConflictingEmotions']"
" Embracing imperfections, finding acceptance in the mosaic of life's beautiful chaos. ", Acceptance      ,7/20/2021 16:20, MosaicDreamer     , Instagram , #Acceptance #BeautifulChaos              ,18,36, Australia     ,embracing imperfection finding acceptance mosaic life beautiful chaos,0.85,1.0,positive,4,9,"['#Acceptance', '#BeautifulChaos']"
" Determination as the driving force, propelling me forward on the path to extraordinary achievements. ", Determination   ,12/3/2019 13:45, PathfinderSpirit  , Facebook , #Determination #ExtraordinaryPath        ,20,40, USA          ,determination driving force propelling forward path extraordinary achievement,0.3333333333333333,1.0,positive,8,9,"['#Determination', '#ExtraordinaryPath']"
" Seeking serenity in the melody of raindrops, a tranquil escape from the noise of everyday life. ", Serenity        ,4/12/2020 19:30, RaindropHarmony   , Twitter  , #Serenity #RaindropMelody                ,25,50, Canada        ,seeking serenity melody raindrop tranquil escape noise everyday life,-0.2,0.6,negative,4,9,"['#Serenity', '#RaindropMelody']"
" Curiosity driving the exploration of the unknown, a seeker of knowledge in uncharted territories. ", Curiosity       ,5/8/2022 8:45, SeekerOfUnknowns  , Instagram , #Curiosity #SeekerOfKnowledge            ,22,45, UK            ,curiosity driving exploration unknown seeker knowledge uncharted territory,-0.1,0.6,negative,2,9,"['#Curiosity', '#SeekerOfKnowledge']"
" Drifting through the day with an air of nonchalance, indifferent to the trivialities of life. ", Indifference    ,2/22/2023 17:00, NonchalantWanderer, Facebook , #Indifference #DriftingThroughLife       ,9,18, India         ,drifting day air nonchalance indifferent triviality life,0.0,0.0,neutral,1,9,"['#Indifference', '#DriftingThroughLife']"
" Lost in the labyrinth of thoughts, confusion casting shadows on the quest for clarity. ", Confusion       ,6/5/2020 12:15, ShadowedSeeker    , Twitter  , #Confusion #LabyrinthOfThoughts          ,14,28, Australia    ,lost labyrinth thought confusion casting shadow quest clarity,0.0,0.0,neutral,4,9,"['#Confusion', '#LabyrinthOfThoughts']"
" Wrapped in the cloak of emotional numbness, a shield against the storms of life's turbulence. ", Numbness        ,11/30/2021 15:30, TurbulentShield   , Instagram , #Numbness #EmotionalStorms               ,10,20, Canada        ,wrapped cloak emotional numbness shield storm life turbulence,0.0,0.65,neutral,4,9,"['#Numbness', '#EmotionalStorms']"
" Melancholy as a companion, painting the canvas of life with the brushstrokes of wistful yearning. ", Melancholy      ,2/25/2019 21:00, WistfulPainter    , Facebook , #Melancholy #WistfulYearning             ,13,26, UK            ,melancholy companion painting canvas life brushstrokes wistful yearning,0.0,0.0,neutral,4,9,"['#Melancholy', '#WistfulYearning']"
" Leafing through the pages of an old photo album, nostalgia weaving tales of laughter and tears. ", Nostalgia       ,5/18/2017 14:45, TaleWeaver        , Twitter  , #Nostalgia #PhotoAlbumStories            ,12,25, USA          ,leafing page old photo album nostalgia weaving tale laughter tear,0.1,0.2,positive,7,9,"['#Nostalgia', '#PhotoAlbumStories']"
" Ambivalence in the air, caught between the crossroads of conflicting emotions and decisions. ", Ambivalence     ,8/5/2022 11:30, CrossroadsExplorer, Instagram , #Ambivalence #CrossroadsConfusion        ,15,30, Canada        ,ambivalence air caught crossroad conflicting emotion decision,0.0,0.0,neutral,7,9,"['#Ambivalence', '#CrossroadsConfusion']"
" Embracing the beauty in imperfections, finding acceptance in the mosaic of life's unpredictable art. ", Acceptance      ,6/15/2023 16:20, MosaicArtist      , Facebook , #Acceptance #UnpredictableArt            ,18,36, Australia    ,embracing beauty imperfection finding acceptance mosaic life unpredictable art,-0.16666666666666666,1.0,negative,4,9,"['#Acceptance', '#UnpredictableArt']"
" Determination ablaze, forging a path through challenges, sculpting dreams into tangible realities. ", Determination   ,10/10/2021 14:45, DreamSculptor     , Twitter  , #Determination #SculptingDreams          ,20,40, UK            ,determination ablaze forging path challenge sculpting dream tangible reality,0.0,0.0,neutral,8,5,"['#Determination', '#SculptingDreams']"
" Immerse in the serenity of a moonlit night, where the quiet whispers of nature bring peace to the soul. ", Serenity        ,5/12/2020 19:30, MoonlitSoul       , Instagram , #Serenity #MoonlitPeace                  ,25,50, USA          ,immerse serenity moonlit night quiet whisper nature bring peace soul,0.0,0.3333333333333333,neutral,6,9,"['#Serenity', '#MoonlitPeace']"
" Fueled by curiosity, venturing into uncharted realms, a fearless explorer of the mysteries of the world. ", Curiosity       ,12/1/2022 9:15, FearlessExplorer  , Facebook , #Curiosity #FearlessExplorer              ,22,44, India         ,fueled curiosity venturing uncharted realm fearless explorer mystery world,0.0,0.0,neutral,2,9,"['#Curiosity', '#FearlessExplorer']"
"Wrapped in the cloak of emotional numbness, a shield against the storms of life's turbulence. ", Numbness ,11/30/2021 15:30, TurbulentShield , Instagram , #Numbness #EmotionalStorms ,10,20, Canada ,wrapped cloak emotional numbness shield storm life turbulence,0.0,0.65,neutral,4,9,"['#Numbness', '#EmotionalStorms']"
" Dancing through life with the exuberance of a carefree spirit, embracing joy and zest at every turn. ", Zest ,7/12/2018 17:45, JoyfulDancer , Twitter , #Zest #CarefreeSpirit ,15,30, USA ,dancing life exuberance carefree spirit embracing joy zest every turn,0.8,0.2,positive,4,9,"['#Zest', '#CarefreeSpirit']"
" Basking in the golden glow of contentment, a serene river flowing through the landscape of the heart. ", Contentment ,9/5/2020 20:10, SereneBasker , Facebook , #Contentment #GoldenGlow ,18,36, Australia ,basking golden glow contentment serene river flowing landscape heart,0.3,0.5,positive,6,9,"['#Contentment', '#GoldenGlow']"
" Gazing towards the horizon with hopeful eyes, painting a canvas of dreams illuminated by the sun of optimism. ", Hopeful ,4/18/2022 8:00, DreamPainter , Instagram , #Hopeful #CanvasOfDreams ,12,24, India ,gazing towards horizon hopeful eye painting canvas dream illuminated sun optimism,0.0,0.0,neutral,8,9,"['#Hopeful', '#CanvasOfDreams']"
" Standing tall, proud as an oak, the branches of achievement reaching towards the sky of accomplishment. ", Proud ,12/10/2019 12:20, OakAchiever , Twitter , #Proud #BranchesOfAchievement ,25,50, Canada ,standing tall proud oak branch achievement reaching towards sky accomplishment,0.8,1.0,positive,9,9,"['#Proud', '#BranchesOfAchievement']"
" A heart overflowing with gratitude, a garden where appreciation blooms in the soil of kindness and connection. ", Grateful ,2/28/2023 9:45, HeartGardener , Facebook , #Grateful #BlossomingConnection ,20,40, USA ,heart overflowing gratitude garden appreciation bloom soil kindness connection,0.0,0.0,neutral,7,9,"['#Grateful', '#BlossomingConnection']"
" Extending a hand, empathetic threads weaving a tapestry of understanding, embracing the joys and sorrows of others. ", Empathetic ,4/3/2018 14:15, ThreadWeaver , Instagram , #Empathetic #TapestryOfUnderstanding ,15,30, UK ,extending hand empathetic thread weaving tapestry understanding embracing joy sorrow others,0.8,0.2,positive,7,9,"['#Empathetic', '#TapestryOfUnderstanding']"
" Compassionate clouds, heavy with care, showering empathy on the parched grounds of human suffering. ", Compassionate ,6/20/2022 10:30, CloudCaretaker , Twitter , #Compassionate #ShowerOfEmpathy ,18,36, Australia ,compassionate cloud heavy care showering empathy parched ground human suffering,-0.1,0.3,negative,5,9,"['#Compassionate', '#ShowerOfEmpathy']"
" Playfully dancing in the rain of laughter, a whimsical spirit twirling in the puddles of joy and lightheartedness. ", Playful ,7/8/2020 18:00, RainDancer , Facebook , #Playful #DanceInTheRain ,22,44, Canada ,playfully dancing rain laughter whimsical spirit twirling puddle joy lightheartedness,0.15000000000000002,0.35,positive,7,9,"['#Playful', '#DanceInTheRain']"
" Soaring on the wings of a free spirit, unburdened by the chains of conformity, painting the sky with independence. ", Free-spirited ,8/15/2021 11:10, SkyPainter , Instagram , #FreeSpirit #PaintingTheSky ,20,40, India ,soaring wing free spirit unburdened chain conformity painting sky independence,0.4,0.8,positive,9,9,"['#FreeSpirit', '#PaintingTheSky']"
" Bathed in the glow of inspiration, a creative phoenix rising from the ashes of ordinary thoughts to explore new realms. ", Inspired ,10/25/2019 16:50, PhoenixExplorer , Twitter , #Inspired #CreativePhoenix ,15,30, UK ,bathed glow inspiration creative phoenix rising ash ordinary thought explore new realm,0.12878787878787878,0.6515151515151515,positive,2,9,"['#Inspired', '#CreativePhoenix']"
" Navigating the sea of hope, sailing towards the sunrise of possibilities, confident in the ship of positive anticipation. ", Hopeful ,10/5/2023 7:30, SunriseNavigator , Facebook , #Hopeful #SunriseOfPossibilities ,12,24, USA ,navigating sea hope sailing towards sunrise possibility confident ship positive anticipation,0.36363636363636365,0.6893939393939394,positive,8,9,"['#Hopeful', '#SunriseOfPossibilities']"
" Striding with confidence, footprints of self-assuredness imprinted on the sands of challenges conquered and victories claimed. ", Confident ,2/15/2022 13:15, SandStrider , Instagram , #Confident #FootprintsOfAssuredness ,25,50, Australia ,striding confidence footprint self assuredness imprinted sand challenge conquered victory claimed,0.0,0.0,neutral,8,9,"['#Confident', '#FootprintsOfAssuredness']"
" Lost in the symphony of the night, a moonlit serenade that whispers tales of wanderlust and moonlit dreams. ", Serenity ,5/8/2021 22:00, NightSerenader , Twitter , #Serenity #MoonlitSerenade ,13,26, Canada ,lost symphony night moonlit serenade whisper tale wanderlust moonlit dream,0.0,0.0,neutral,9,5,"['#Serenity', '#MoonlitSerenade']"
" Unveiling the layers of curiosity, a labyrinth of questions leading to the treasure troves of undiscovered knowledge. ", Curiosity ,11/29/2020 14:45, KnowledgeSeeker , Instagram , #Curiosity #LabyrinthOfQuestions ,17,34, USA ,unveiling layer curiosity labyrinth question leading treasure trove undiscovered knowledge,0.0,0.0,neutral,4,9,"['#Curiosity', '#LabyrinthOfQuestions']"
" In the embrace of the autumn breeze, leaves of ambivalence dancing in a waltz between choices and uncertainties. ", Ambivalence ,9/14/2019 10:20, BreezeWaltzer , Facebook , #Ambivalence #AutumnWaltz ,14,28, UK ,embrace autumn breeze leaf ambivalence dancing waltz choice uncertainty,0.0,0.0,neutral,7,9,"['#Ambivalence', '#AutumnWaltz']"
" Gratitude as a guiding star, navigating the constellation of blessings in the vast universe of life's precious moments. ", Grateful ,3/12/2022 19:55, StarNavigator , Twitter , #Grateful #GuidingStar ,19,38, Australia ,gratitude guiding star navigating constellation blessing vast universe life precious moment,0.25,1.0,positive,4,5,"['#Grateful', '#GuidingStar']"
" With a zestful heart, sprinting through fields of enthusiasm, chasing sunbeams and laughter in the meadows of joy. ", Zest ,3/30/2023 16:30, MeadowSprinter , Instagram , #Zest #FieldsOfEnthusiasm ,16,32, India ,zestful heart sprinting field enthusiasm chasing sunbeam laughter meadow joy,0.8,0.2,positive,7,9,"['#Zest', '#FieldsOfEnthusiasm']"
" A compassionate rain, tears of empathy falling gently, nurturing the seeds of kindness in the garden of human connections. ", Compassionate ,7/1/2021 12:10, RainNurturer , Facebook , #Compassionate #TearsOfEmpathy ,21,42, Canada ,compassionate rain tear empathy falling gently nurturing seed kindness garden human connection,0.1,0.45,positive,6,9,"['#Compassionate', '#TearsOfEmpathy']"
" Proudly scaling the peaks of achievement, a mountaineer conquering challenges and planting the flag of success. ", Proud ,1/5/2020 8:45, PeakConqueror , Twitter , #Proud #ScalingPeaks ,23,46, USA ,proudly scaling peak achievement mountaineer conquering challenge planting flag success,0.55,0.5,positive,8,9,"['#Proud', '#ScalingPeaks']"
" Embraced by the hopeful dawn, a gardener sowing seeds of optimism, tending to the blooms of a brighter tomorrow. ", Hopeful ,7/17/2022 6:15, DawnGardener , Instagram , #Hopeful #SeedsOfOptimism ,14,28, UK ,embraced hopeful dawn gardener sowing seed optimism tending bloom brighter tomorrow,0.0,0.0,neutral,8,9,"['#Hopeful', '#SeedsOfOptimism']"
" A playful escapade in the carnival of life, carousel laughter and cotton candy dreams swirling in the joyous atmosphere. ", Playful ,8/22/2018 17:20, CarnivalDreamer , Facebook , #Playful #CarnivalEscapade ,24,48, Australia ,playful escapade carnival life carousel laughter cotton candy dream swirling joyous atmosphere,0.0,0.0,neutral,4,5,"['#Playful', '#CarnivalEscapade']"
" Floating on clouds of inspiration, an artist painting the sky with strokes of creativity, creating a masterpiece of dreams. ", Inspired ,12/8/2021 14:30, SkyArtist , Twitter , #Inspired #CloudsOfCreativity ,18,36, India ,floating cloud inspiration artist painting sky stroke creativity creating masterpiece dream,0.0,0.0,neutral,9,9,"['#Inspired', '#CloudsOfCreativity']"
" Navigating the river of contentment, a serene boat cruise through the tranquil waters of inner peace and acceptance. ", Contentment ,4/27/2019 9:50, RiverNavigator , Instagram , #Contentment #TranquilWaters ,20,40, Canada ,navigating river contentment serene boat cruise tranquil water inner peace acceptance,0.0,0.16666666666666666,neutral,6,9,"['#Contentment', '#TranquilWaters']"
" With empathy as a lantern, wandering through the dark alleys of sorrow, illuminating the path with compassion and care. ", Empathetic ,9/3/2023 21:40, LanternWanderer , Facebook , #Empathetic #LanternOfCompassion ,16,32, USA ,empathy lantern wandering dark alley sorrow illuminating path compassion care,-0.15,0.4,negative,8,9,"['#Empathetic', '#LanternOfCompassion']"
" A free spirit soaring on the wings of dreams, leaving trails of independence in the azure sky of boundless possibilities. ", Free-spirited ,6/10/2020 10:05, DreamSoarer , Twitter , #FreeSpirit #WingsOfDreams ,22,44, UK ,free spirit soaring wing dream leaving trail independence azure sky boundless possibility,0.1,0.75,positive,9,5,"['#FreeSpirit', '#WingsOfDreams']"
" Bathed in the golden hues of gratefulness, a sunset of appreciation casting its warm glow on the landscapes of the heart. ", Grateful ,4/1/2022 18:30, SunsetAdmirer , Instagram , #Grateful #GoldenHues ,19,38, Australia ,bathed golden hue gratefulness sunset appreciation casting warm glow landscape heart,0.44999999999999996,0.55,positive,6,9,"['#Grateful', '#GoldenHues']"
" Confident strides in the dance of life, a ballroom where self-assuredness leads, twirling through challenges with grace. ", Confident ,1/15/2021 13:00, DanceStrider , Facebook , #Confident #DanceOfLife ,23,46, Canada ,confident stride dance life ballroom self assuredness lead twirling challenge grace,0.5,0.8333333333333334,positive,4,9,"['#Confident', '#DanceOfLife']"
" Hopeful whispers of wind, carrying the promises of a brighter tomorrow, a symphony of optimism in the air of possibilities. ", Hopeful ,5/6/2023 7:20, WindWhisperer , Twitter , #Hopeful #BrighterTomorrows ,15,30, India ,hopeful whisper wind carrying promise brighter tomorrow symphony optimism air possibility,0.0,0.0,neutral,8,9,"['#Hopeful', '#BrighterTomorrows']"
" Playfully juggling responsibilities, a circus performer balancing the acts of work and joy, tossing laughter into the air. ", Playful ,11/18/2019 15:15, JugglingArtist , Instagram , #Playful #JugglingResponsibilities ,25,50, USA ,playfully juggling responsibility circus performer balancing act work joy tossing laughter air,0.8,0.2,positive,7,9,"['#Playful', '#JugglingResponsibilities']"
" Whispering tales of inspiration to the stars, a storyteller crafting constellations from the threads of imagination. ", Inspired ,8/29/2020 20:45, StarStoryteller , Facebook , #Inspired #TalesToTheStars ,14,28, UK ,whispering tale inspiration star storyteller crafting constellation thread imagination,0.0,0.0,neutral,9,5,"['#Inspired', '#TalesToTheStars']"
" Charting a course through the waves of hopeful anticipation, a sailor steering towards the shores of dreams yet unexplored. ", Hopeful ,10/30/2022 11:40, WaveNavigator , Twitter , #Hopeful #SailorOfDreams ,17,34, Australia ,charting course wave hopeful anticipation sailor steering towards shore dream yet unexplored,0.0,0.0,neutral,8,5,"['#Hopeful', '#SailorOfDreams']"
" A compassionate rain, tears of empathy falling gently, nurturing the seeds of kindness in the garden of human connections. ", Compassionate ,7/1/2021 12:10, RainNurturer , Instagram , #Compassionate #TearsOfEmpathy ,21,42, Canada ,compassionate rain tear empathy falling gently nurturing seed kindness garden human connection,0.1,0.45,positive,6,9,"['#Compassionate', '#TearsOfEmpathy']"
" Proudly scaling the peaks of achievement, a mountaineer conquering challenges and planting the flag of success. ", Proud ,1/5/2020 8:45, PeakConqueror , Twitter , #Proud #ScalingPeaks ,23,46, USA ,proudly scaling peak achievement mountaineer conquering challenge planting flag success,0.55,0.5,positive,8,9,"['#Proud', '#ScalingPeaks']"
" Embraced by the hopeful dawn, a gardener sowing seeds of optimism, tending to the blooms of a brighter tomorrow. ", Hopeful ,7/17/2022 6:15, DawnGardener , Instagram , #Hopeful #SeedsOfOptimism ,14,28, UK ,embraced hopeful dawn gardener sowing seed optimism tending bloom brighter tomorrow,0.0,0.0,neutral,8,9,"['#Hopeful', '#SeedsOfOptimism']"
" A playful escapade in the carnival of life, carousel laughter and cotton candy dreams swirling in the joyous atmosphere. ", Playful ,8/22/2018 17:20, CarnivalDreamer , Facebook , #Playful #CarnivalEscapade ,24,48, Australia ,playful escapade carnival life carousel laughter cotton candy dream swirling joyous atmosphere,0.0,0.0,neutral,4,5,"['#Playful', '#CarnivalEscapade']"
" Floating on clouds of inspiration, an artist painting the sky with strokes of creativity, creating a masterpiece of dreams. ", Inspired ,12/8/2021 14:30, SkyArtist , Twitter , #Inspired #CloudsOfCreativity ,18,36, India ,floating cloud inspiration artist painting sky stroke creativity creating masterpiece dream,0.0,0.0,neutral,9,9,"['#Inspired', '#CloudsOfCreativity']"
" Navigating the river of contentment, a serene boat cruise through the tranquil waters of inner peace and acceptance. ", Contentment ,4/27/2019 9:50, RiverNavigator , Instagram , #Contentment #TranquilWaters ,20,40, Canada ,navigating river contentment serene boat cruise tranquil water inner peace acceptance,0.0,0.16666666666666666,neutral,6,9,"['#Contentment', '#TranquilWaters']"
" With empathy as a lantern, wandering through the dark alleys of sorrow, illuminating the path with compassion and care. ", Empathetic ,9/3/2023 21:40, LanternWanderer , Facebook , #Empathetic #LanternOfCompassion ,16,32, USA ,empathy lantern wandering dark alley sorrow illuminating path compassion care,-0.15,0.4,negative,8,9,"['#Empathetic', '#LanternOfCompassion']"
" A free spirit soaring on the wings of dreams, leaving trails of independence in the azure sky of boundless possibilities. ", Free-spirited ,6/10/2020 10:05, DreamSoarer , Twitter , #FreeSpirit #WingsOfDreams ,22,44, UK ,free spirit soaring wing dream leaving trail independence azure sky boundless possibility,0.1,0.75,positive,9,5,"['#FreeSpirit', '#WingsOfDreams']"
" Bathed in the golden hues of gratefulness, a sunset of appreciation casting its warm glow on the landscapes of the heart. ", Grateful ,4/1/2022 18:30, SunsetAdmirer , Instagram , #Grateful #GoldenHues ,19,38, Australia ,bathed golden hue gratefulness sunset appreciation casting warm glow landscape heart,0.44999999999999996,0.55,positive,6,9,"['#Grateful', '#GoldenHues']"
" Confident strides in the dance of life, a ballroom where self-assuredness leads, twirling through challenges with grace. ", Confident ,1/15/2021 13:00, DanceStrider , Facebook , #Confident #DanceOfLife ,23,46, Canada ,confident stride dance life ballroom self assuredness lead twirling challenge grace,0.5,0.8333333333333334,positive,4,9,"['#Confident', '#DanceOfLife']"
" Hopeful whispers of wind, carrying the promises of a brighter tomorrow, a symphony of optimism in the air of possibilities. ", Hopeful ,5/6/2023 7:20, WindWhisperer , Twitter , #Hopeful #BrighterTomorrows ,15,30, India ,hopeful whisper wind carrying promise brighter tomorrow symphony optimism air possibility,0.0,0.0,neutral,8,9,"['#Hopeful', '#BrighterTomorrows']"
" Playfully juggling responsibilities, a circus performer balancing the acts of work and joy, tossing laughter into the air. ", Playful ,11/18/2019 15:15, JugglingArtist , Instagram , #Playful #JugglingResponsibilities ,25,50, USA ,playfully juggling responsibility circus performer balancing act work joy tossing laughter air,0.8,0.2,positive,7,9,"['#Playful', '#JugglingResponsibilities']"
" Whispering tales of inspiration to the stars, a storyteller crafting constellations from the threads of imagination. ", Inspired ,8/29/2020 20:45, StarStoryteller , Facebook , #Inspired #TalesToTheStars ,14,28, UK ,whispering tale inspiration star storyteller crafting constellation thread imagination,0.0,0.0,neutral,9,5,"['#Inspired', '#TalesToTheStars']"
" Charting a course through the waves of hopeful anticipation, a sailor steering towards the shores of dreams yet unexplored. ", Hopeful ,10/30/2022 11:40, WaveNavigator , Twitter , #Hopeful #SailorOfDreams ,17,34, Australia ,charting course wave hopeful anticipation sailor steering towards shore dream yet unexplored,0.0,0.0,neutral,8,5,"['#Hopeful', '#SailorOfDreams']"
" A compassionate rain, tears of empathy falling gently, nurturing the seeds of kindness in the garden of human connections. ", Compassionate ,7/1/2021 12:10, RainNurturer , Instagram , #Compassionate #TearsOfEmpathy ,21,42, Canada ,compassionate rain tear empathy falling gently nurturing seed kindness garden human connection,0.1,0.45,positive,6,9,"['#Compassionate', '#TearsOfEmpathy']"
" Proudly scaling the peaks of achievement, a mountaineer conquering challenges and planting the flag of success. ", Proud ,1/5/2020 8:45, PeakConqueror , Twitter , #Proud #ScalingPeaks ,23,46, USA ,proudly scaling peak achievement mountaineer conquering challenge planting flag success,0.55,0.5,positive,8,9,"['#Proud', '#ScalingPeaks']"
" Embraced by the hopeful dawn, a gardener sowing seeds of optimism, tending to the blooms of a brighter tomorrow. ", Hopeful ,7/17/2022 6:15, DawnGardener , Instagram , #Hopeful #SeedsOfOptimism ,14,28, India ,embraced hopeful dawn gardener sowing seed optimism tending bloom brighter tomorrow,0.0,0.0,neutral,8,9,"['#Hopeful', '#SeedsOfOptimism']"
" A playful escapade in the carnival of life, carousel laughter and cotton candy dreams swirling in the joyous atmosphere. ", Playful ,8/22/2018 17:20, CarnivalDreamer , Facebook , #Playful #CarnivalEscapade ,24,48, Australia ,playful escapade carnival life carousel laughter cotton candy dream swirling joyous atmosphere,0.0,0.0,neutral,4,5,"['#Playful', '#CarnivalEscapade']"
" Drowning in the abyss of despair, a heart shattered into fragments, lost in the echoing silence of hopelessness. ", Despair ,9/15/2021 16:00, ShatteredHeart , Instagram , #Despair #EchoingSilence ,8,16, Canada ,drowning abyss despair heart shattered fragment lost echoing silence hopelessness,0.0,0.0,neutral,0,9,"['#Despair', '#EchoingSilence']"
" Bitterness festering like a venomous vine, entwining the soul in a web of resentment, poisoning the garden of peace. ", Bitterness ,3/8/2019 14:20, VenomousSoul , Facebook , #Bitterness #ResentmentWeb ,12,24, UK ,bitterness festering like venomous vine entwining soul web resentment poisoning garden peace,0.0,0.0,neutral,6,9,"['#Bitterness', '#ResentmentWeb']"
" Wandering through the desert of loneliness, each step a heavy sigh, mirages of connection shimmering but never materializing. ", Loneliness ,7/20/2017 11:45, DesertWanderer , Twitter , #Loneliness #MiragesOfConnection ,15,30, USA ,wandering desert loneliness step heavy sigh mirage connection shimmering never materializing,-0.2,0.5,negative,9,9,"['#Loneliness', '#MiragesOfConnection']"
" Yearning for a touch that's not there, echoes of a distant warmth haunting the heart in the cold embrace of solitude. ", Yearning ,11/2/2020 19:30, ColdEmbrace , Instagram , #Yearning #DistantWarmth ,10,20, Australia ,yearning touch echo distant warmth haunting heart cold embrace solitude,-0.35,0.675,negative,0,9,"['#Yearning', '#DistantWarmth']"
" Eyes wide open in the night, fearful shadows dancing on the walls, the mind a prisoner of imagined horrors. ", Fearful ,5/12/2022 2:00, NightPrisoner , Facebook , #Fearful #ImaginedHorrors ,18,36, India ,eye wide open night fearful shadow dancing wall mind prisoner imagined horror,-0.3333333333333333,0.6333333333333333,negative,9,9,"['#Fearful', '#ImaginedHorrors']"
" Apprehensive steps on the tightrope of uncertainty, a balancing act where the fall seems inevitable, anxiety a constant companion. ", Apprehensive ,4/8/2023 13:15, TightropeWalker , Twitter , #Apprehensive #BalancingAct ,14,28, UK ,apprehensive step tightrope uncertainty balancing act fall seems inevitable anxiety constant companion,0.0,0.6666666666666666,neutral,7,9,"['#Apprehensive', '#BalancingAct']"
" Overwhelmed by the weight of the world, Atlas with trembling shoulders, each responsibility a boulder in the landscape of exhaustion. ", Overwhelmed ,6/25/2021 17:50, AtlasBearer , Instagram , #Overwhelmed #BouldersOfExhaustion ,22,44, Canada ,overwhelmed weight world atlas trembling shoulder responsibility boulder landscape exhaustion,0.0,0.0,neutral,6,9,"['#Overwhelmed', '#BouldersOfExhaustion']"
" Jealousy, a green-eyed monster, lurking in the shadows, casting a dark cloud over the sunshine of others' success. ", Jealous ,8/30/2019 10:10, GreenMonster , Facebook , #Jealous #GreenEyedMonster ,16,32, USA ,jealousy green eyed monster lurking shadow casting dark cloud sunshine others success,-0.016666666666666663,0.2333333333333333,negative,8,9,"['#Jealous', '#GreenEyedMonster']"
" Devastated by the storm of betrayal, the wreckage of trust scattered like debris, a heart torn by the winds of broken promises. ", Devastated ,8/3/2022 15:30, StormSurvivor , Twitter , #Devastated #WindsOfBrokenPromises ,25,50, Australia ,devastated storm betrayal wreckage trust scattered like debris heart torn wind broken promise,-0.4,0.4,negative,0,9,"['#Devastated', '#WindsOfBrokenPromises']"
" Frustrated fingers tapping on the keyboard, a symphony of annoyance composing an unsolvable puzzle of unmet expectations. ", Frustrated ,12/17/2020 9:20, PuzzleComposer , Instagram , #Frustrated #UnsolvablePuzzle ,12,24, India ,frustrated finger tapping keyboard symphony annoyance composing unsolvable puzzle unmet expectation,-0.7,0.2,negative,0,9,"['#Frustrated', '#UnsolvablePuzzle']"
" Envious eyes fixated on the gilded prize, a heartache fueled by the painful desire for possessions that seem forever out of reach. ", Envious ,2/28/2021 22:45, GildedHeartache , Facebook , #Envious #GildedPrize ,20,40, USA ,envious eye fixated gilded prize heartache fueled painful desire possession seem forever reach,-0.7,0.9,negative,9,9,"['#Envious', '#GildedPrize']"
" Dismissive glances, a fortress built with indifference, walls impenetrable to the pleas of understanding and recognition. ", Dismissive ,5/10/2018 14:00, IndifferentFort , Twitter , #Dismissive #ImpenetrableWalls ,14,28, UK ,dismissive glance fortress built indifference wall impenetrable plea understanding recognition,0.0,0.0,neutral,1,5,"['#Dismissive', '#ImpenetrableWalls']"
" Shattered dreams lie on the floor like fragments of glass, a mosaic of disappointment crafted by the hands of frustration. ", Frustrated ,1/7/2022 11:10, DreamMosaic , Instagram , #Frustrated #MosaicOfDisappointment ,15,30, Canada ,shattered dream lie floor like fragment glass mosaic disappointment crafted hand frustration,-0.6,0.4,negative,0,9,"['#Frustrated', '#MosaicOfDisappointment']"
" Loneliness, a silent companion in the night, the only echo in the chamber of solitude, a heart's solitary nocturne. ", Loneliness ,9/19/2019 3:30, NocturnalEcho , Facebook , #Loneliness #SolitaryNocturne ,18,36, Australia ,loneliness silent companion night echo chamber solitude heart solitary nocturne,0.0,0.1,neutral,9,9,"['#Loneliness', '#SolitaryNocturne']"
" Fearful whispers in the dark, the mind haunted by the specter of the unknown, shadows dancing to the rhythm of anxiety's tune. ", Fearful ,7/14/2023 23:00, DarkWhispers , Twitter , #Fearful #SpecterOfTheUnknown ,13,26, UK ,fearful whisper dark mind haunted specter unknown shadow dancing rhythm anxiety tune,-0.38333333333333336,0.6666666666666666,negative,9,9,"['#Fearful', '#SpecterOfTheUnknown']"
